Mouse-ID,Sample-ID,Weight (g),Caliper dims (mm^3)
770933 R,FUCRW-M1-1,0.0789,5x5x4
770933 R,FUCRW-M1-2,NA,NA
770933 L,FUCRW-M2-1,0.0214,NA
770933 L,FUCRW-M2-2,0.1764,6x5x4
770933 R+L,MYCN-M1-1,NA,NA
770933 R+L,MYCN-M1-2,0.1853,6x7x5
770933 -,MYCN-M2-1,NA,NA
770933 -,MYCN-M2-2,0.4650,7x6x6
770934 R,IDH1-M1-1,2.8062,19x14x12
770934 R,IDH1-M1-2,0.1912,5x5x5
770934 L,IDH1-M2-1,0.1624,6x5x6
770934 L,IDH1-M2-2,0.0140,NA
770934 R+L,MYCN;IDH1-M1-1,1.8117,17x14x12
770934 R+L,MYCN;IDH1-M1-2,2.0532,17x14x10
770934 -,MYCN;IDH1-M2-1,0.2082,5x6x6
770934 -,MYCN;IDH1-M2-2,2.3053,17x12x10

