Sample,Actin,Actin_minus_blank,Actin_relative_to_FUCRW-M2-2-F,,Blank,6.459
MYCN-M2-2-F,21.457,14.998,1.010238448,,,
MYCN-M2-2-E (1/2),49.996,43.537,2.932574431,,,
MYCN-M1-2-F,54.746,48.287,3.252525933,,,
MYCN-M1-2-E,54.734,48.275,3.251717634,,,
FUCRW-M2-2-F (1/2),21.305,14.846,1,,,
FUCRW-M2-2-E (1/2),57.464,51.005,3.43560555,,,
FUCRW-M1-1-F,37.145,30.686,2.066954062,,,
FUCRW-M1-1-E (1/2),47.265,40.806,2.748619157,,,
IDH1-M1-1-E (1/2),68.614,62.155,4.186649603,,,
IDH1-M1-1-F (1/2),28.617,22.158,1.492523239,,,
IDH1-M1-2-E (1/2),59.312,52.853,3.560083524,,,
IDH1-M1-2-F (1/2),56.968,50.509,3.402195878,,,
IDH1-M2-1-E,56.305,49.846,3.357537384,,,
IDH1-M2-1-F,11.476,5.017,0.337936144,,,
